lat,lon,id,name,geometry,index_right,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,LSOA name,10th percentile (£),20th percentile (£),30th percentile (£),40th percentile (£),50th percentile (£),60th percentile (£),70th percentile (£),80th percentile (£),90th percentile (£),Percentage of occupied addresses with income information (%),Population,IMD Score,Station Name,Start Count,End Count,Total Demand,Normalized Demand
51.531864,-0.066035,BikePoints_534,"Goldsmith's Row, Haggerston",POINT (-0.066035 51.531864),1911,E01001774,Hackney 024B,E02000368,Hackney 024,E09000012,Hackney,Hackney 024B," 9,985 "," 14,111 "," 19,224 "," 23,694 ",27962.0," 32,733 "," 40,388 "," 49,868 "," 64,510 ",98.5,2252.0,28.2,"Goldsmith's Row, Haggerston",17033.0,15728,32761.0,0.25678588504557887
51.537349,-0.147154,BikePoints_535,"Gloucester Avenue, Camden Town",POINT (-0.147154 51.537349),934,E01000862,Camden 018E,E02000183,Camden 018,E09000007,Camden,Camden 018E," 12,584 "," 21,116 "," 29,594 "," 35,993 ",45369.0," 58,155 "," 71,628 "," 92,842 "," 149,220 ",95.3,1993.0,10.9,"Gloucester Avenue, Camden Town",8447.0,8004,16451.0,0.1289455326420078
51.53385,-0.06992,BikePoints_536,"Queensbridge Road, Haggerston",POINT (-0.06992 51.53385),1911,E01001774,Hackney 024B,E02000368,Hackney 024,E09000012,Hackney,Hackney 024B," 9,985 "," 14,111 "," 19,224 "," 23,694 ",27962.0," 32,733 "," 40,388 "," 49,868 "," 64,510 ",98.5,2252.0,28.2,"Queensbridge Road, Haggerston",6939.0,6492,13431.0,0.10527429632939074
51.51793,-0.067937,BikePoints_537,"Old Montague Street, Whitechapel",POINT (-0.067937 51.51793),4526,E01004309,Tower Hamlets 015D,E02000878,Tower Hamlets 015,E09000030,Tower Hamlets,Tower Hamlets 015D," 10,272 "," 14,266 "," 18,032 "," 20,529 ",23528.0," 27,451 "," 32,271 "," 40,146 "," 53,940 ",93.5,3471.0,38.5,"Old Montague Street, Whitechapel",10542.0,10415,20957.0,0.16426427132566762
51.508981,-0.00699,BikePoints_538,"Naval Row, Blackwall",POINT (-0.00699 51.508981),4475,E01032777,Tower Hamlets 035A,E02007113,Tower Hamlets 035,E09000030,Tower Hamlets,Tower Hamlets 028F," 12,970 "," 16,114 "," 20,706 "," 24,727 ",30557.0," 37,184 "," 47,920 "," 65,376 "," 84,673 ",97.2,1668.0,18.5,"Naval Row, Blackwall",3507.0,3689,7196.0,0.0564033829488717
51.531091,-0.075901,BikePoints_539,"Hoxton Station, Hoxton",POINT (-0.075901 51.531091),1913,E01001777,Hackney 033A,E02007111,Hackney 033,E09000012,Hackney,Hackney 027B," 10,469 "," 14,695 "," 17,928 "," 21,715 ",25036.0," 29,863 "," 37,638 "," 44,745 "," 62,545 ",97.7,2389.0,34.3,"Hoxton Station, Hoxton",12536.0,12122,24658.0,0.19327329304520266
51.528302,-0.144466,BikePoints_540,"Albany Street, The Regent's Park",POINT (-0.144466 51.528302),990,E01000946,Camden 021B,E02000186,Camden 021,E09000007,Camden,Camden 021B," 10,147 "," 16,168 "," 20,713 "," 24,532 ",28778.0," 33,337 "," 41,670 "," 56,324 "," 86,239 ",91.6,2339.0,14.8,"Albany Street, The Regent's Park",12528.0,10218,22746.0,0.17828673548569143
51.506613,-0.142844,BikePoints_541,"Green Park Station, Mayfair",POINT (-0.142844 51.506613),4992,E01004736,Westminster 018C,E02000977,Westminster 018,E09000033,Westminster,Westminster 018C," 12,766 "," 20,082 "," 27,244 "," 35,235 ",43666.0," 52,361 "," 65,272 "," 90,535 "," 159,881 ",87.9,2155.0,9.7,"Green Park Station, Mayfair",21807.0,22782,44589.0,0.349495614550756
51.514115,-0.033828,BikePoints_542,"Salmon Lane, Limehouse",POINT (-0.033828 51.514115),4446,E01035690,Tower Hamlets 023E,E02000886,Tower Hamlets 023,E09000030,Tower Hamlets,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,"Salmon Lane, Limehouse",11906.0,11352,23258.0,0.18229987223802918
51.509591,-0.204666,BikePoints_543,"Lansdowne Walk, Ladbroke Grove",POINT (-0.204666 51.509591),3000,E01002875,Kensington and Chelsea 007E,E02000583,Kensington and Chelsea 007,E09000020,Kensington and Chelsea,Kensington and Chelsea 007E," 13,326 "," 19,524 "," 27,048 "," 34,586 ",40806.0," 52,632 "," 72,400 "," 101,639 "," 179,770 ",96.2,1362.0,14.9,"Lansdowne Walk, Ladbroke Grove",3003.0,2335,5338.0,0.04184008590620861
